pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,9/27/2023,96.2,-1.76,5.88,"Cole, Gerrit",672386,543037,,ball,,,,,14,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,2,2,2023,-0.52,1.69,1.12,1.54,,,,0,8,Bot,,,,,666163,,,8.769352552,-139.3879839,-9.594091862,-8.947553101,35.4611094,-8.110553182,2.94,1.38,,,,95.2,2522,6.2,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.28,,,,,,,,58,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,209,0,0.103,,
SL,9/27/2023,86.4,-1.92,5.86,"Cole, Gerrit",672386,543037,,ball,,,,,14,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,1,2,2023,0.37,0.31,1.18,2.06,,,,0,8,Bot,,,,,666163,,,6.642449036,-125.6437214,-3.432510131,2.617158905,25.50747817,-28.43196971,3.01,1.35,,,,86.5,2458,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.1,,,,,,,,58,4,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,112,0,0.041,,
SL,9/27/2023,87.4,-2.02,5.9,"Cole, Gerrit",672386,543037,,called_strike,,,,,14,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,S,,,1,1,2023,0.34,0.3,0.89,1.85,,,,0,8,Bot,,,,,666163,,,6.310956829,-127.1816652,-4.228938153,2.396459094,26.5321739,-28.21015559,3.01,1.44,,,,87.4,2428,6.3,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.17,,,,,,,,58,3,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,130,0,-0.055,,
KC,9/27/2023,81.5,-2.03,5.92,"Cole, Gerrit",672386,543037,,called_strike,,,,,3,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,S,,,1,0,2023,1.05,-1.35,0.43,2.58,,,,0,8,Bot,,,,,666163,,,3.475863588,-118.4635206,1.797511781,8.896875801,27.16726339,-45.32637775,2.96,1.38,,,,80.2,2851,5.9,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.59,,,,,,,,58,2,Knuckle Curve,0,6,0,6,6,0,0,6,Strategic,Standard,41,0,-0.046,,
FF,9/27/2023,94.5,-2.03,5.77,"Cole, Gerrit",672386,543037,,ball,,,,,11,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,0,0,2023,-0.74,1.54,-1.39,2.43,,,,0,8,Bot,,,,,666163,,,3.329415315,-137.4155985,-6.367371137,-10.17266038,35.82069281,-11.50236359,2.92,1.4,,,,93.9,2439,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.14,,,,,,,,58,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,210,0,0.036,,
FF,9/27/2023,95.3,-2.03,5.94,"Cole, Gerrit",624415,543037,field_out,hit_into_play,,,,,12,Cavan Biggio pops out to shortstop Anthony Volpe.,R,L,R,TOR,NYY,X,6,popup,1,2,2023,-0.46,1.68,0.12,3.62,,,474832,2,7,Bot,115.33,167.98,,,666163,,,6.693379653,-138.4841022,-4.18147602,-7.505065818,34.31403576,-9.878040096,3.43,1.6,104,83.1,70,95.1,2352,6.5,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.02,0.001,0,0,1,0,0,3,54,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,205,-0.004,-0.173,,
KC,9/27/2023,82,-2.08,5.87,"Cole, Gerrit",624415,543037,,called_strike,,,,,7,Cavan Biggio pops out to shortstop Anthony Volpe.,R,L,R,TOR,NYY,S,,,1,1,2023,1.06,-1.42,-0.7,1.97,,,474832,2,7,Bot,,,,,666163,,,1.081807769,-119.2716418,0.623823527,9.666067354,28.01646375,-45.94666177,3.41,1.53,,,,80.9,2871,6,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.46,,,,,,,,54,3,Knuckle Curve,0,6,0,6,6,0,0,6,Infield shade,Standard,39,0,-0.05,,
FF,9/27/2023,95.8,-2.04,5.92,"Cole, Gerrit",624415,543037,,ball,,,,,11,Cavan Biggio pops out to shortstop Anthony Volpe.,R,L,R,TOR,NYY,B,,,0,1,2023,-0.2,1.76,-0.65,3.76,,,474832,2,7,Bot,,,,,666163,,,4.120218016,-139.4215873,-3.995210336,-3.643433342,35.25380531,-8.705621813,3.32,1.49,,,,95.2,2383,6.2,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.26,,,,,,,,54,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,203,0,0.021,,
FF,9/27/2023,96.3,-2.31,5.79,"Cole, Gerrit",624415,543037,,called_strike,,,,,5,Cavan Biggio pops out to shortstop Anthony Volpe.,R,L,R,TOR,NYY,S,,,0,0,2023,-0.67,1.62,-0.27,2.27,,,474832,2,7,Bot,,,,,666163,,,6.965344234,-139.7616677,-7.398948126,-10.44343548,35.28304545,-9.500048999,3.39,1.58,,,,96.3,2337,6.7,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,53.79,,,,,,,,54,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,217,0,-0.038,,
CH,9/27/2023,86.1,-2.15,5.75,"Cole, Gerrit",474832,543037,single,hit_into_play,,,,,4,Brandon Belt singles on a line drive to center fielder Estevan Florial.,R,L,R,TOR,NYY,X,8,line_drive,1,1,2023,-1.21,0.88,-0.56,2.5,,,,2,7,Bot,96.07,74.94,,,666163,,,6.232166159,-125.1611627,-3.213901257,-14.03234176,25.79146202,-22.51800645,3.22,1.56,272,84.9,22,85.9,1730,6.3,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.21,0.397,0.393,0.9,1,1,0,3,53,3,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,236,0.003,0.138,,
